playerID,daysActive,BatG,BatBA,BatHR,FieldG,PitchW,PitchL,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
bankser01,6583,2528,0.274175,512,2476,0,0,14,0,1,0,2,0,1
barbest01,5214,466,0.115453,5,466,121,106,2,0,0,0,0,0,0
barnero01,3792,499,0.359114,6,505,0,0,0,0,0,0,0,0,0
barrji01,4446,482,0.161479,1,455,101,112,0,0,0,0,0,0,0
barryja01,3997,1248,0.243326,10,1244,0,0,0,0,0,0,0,0,0
bartedi01,6809,2034,0.283877,80,2007,0,0,2,0,0,0,0,0,0
bartobo01,3238,393,0.225929,9,380,0,0,0,0,0,0,0,0,0
battijo01,6865,480,0.224782,3,490,0,0,0,0,0,0,0,0,0
bauerha01,4701,1597,0.275642,171,1502,0,0,3,0,0,0,0,0,0
baylodo01,6588,2330,0.260608,342,978,0,0,1,0,0,3,1,674205,0
beaucji01,3651,397,0.230075,14,184,0,0,0,0,0,0,0,0,0
beaumgi01,4194,1474,0.310393,39,1417,0,0,0,0,0,0,0,0,0
beckegl01,3667,1320,0.282834,22,1249,0,0,4,0,1,0,0,0,0
becklja01,6933,2386,0.307579,86,2385,0,1,0,0,0,0,0,0,1
beckro01,4849,710,0.210526,0,710,38,46,3,0,0,0,0,2660033,0
bedrost01,5108,745,0.0980392,0,745,76,79,1,1,0,0,0,942500,0
belanma01,6265,2059,0.226565,21,2014,0,0,1,0,8,0,0,0,0
bellbu01,6272,2405,0.279489,201,2373,0,0,5,0,6,1,0,820552,0
belleal01,4096,1557,0.294217,387,1329,0,0,5,0,0,5,0,6491753,0
bellge02,4559,1599,0.277913,266,1245,0,0,3,0,0,3,1,1942778,0
bellja01,6208,2093,0.26529,198,2033,0,0,2,0,1,1,0,3547656,0
benchjo01,5876,2203,0.267408,399,2238,0,0,14,0,10,0,3,0,1
bendech01,8128,517,0.208651,6,482,218,131,0,0,0,0,0,0,1
benitar01,5062,790,0,0,790,43,49,2,0,0,0,0,3600399,0
bennech01,5631,1075,0.256072,56,1084,0,0,0,0,0,0,0,0,0
bentola01,4502,462,0.165312,2,455,127,128,0,0,0,0,0,0,0
bergema01,1274,344,0.265258,10,341,0,0,0,0,0,0,0,0,0
bergewa01,3733,1357,0.29917,242,1314,0,0,4,0,0,0,0,0,0
bergmo01,5910,663,0.243243,6,632,0,0,0,0,0,0,0,0,0
berrayo01,6804,2195,0.284233,370,2035,0,0,18,0,0,0,3,0,1
berrych02,4833,709,0.267096,23,657,0,0,0,0,0,0,0,0,0
berryke01,4647,1384,0.254594,58,1312,0,0,1,0,2,0,0,0,0
bibbyji01,4282,344,0.14554,5,343,111,101,1,0,0,0,0,0,0
bicheda01,4779,1708,0.299469,275,1557,0,0,4,0,0,1,0,3566667,0
bigbeca01,3635,1151,0.287485,17,1074,0,0,0,0,0,0,0,0,0
biggicr01,7035,2890,0.28063,293,2820,0,0,7,0,4,5,0,4324500,1
billija01,4453,486,0.108581,0,486,147,114,1,0,0,0,0,0,0
bishoma01,4176,1356,0.269298,41,1276,0,0,0,0,0,0,0,0,0
blackew01,4745,238,0.173423,1,237,82,78,6,0,0,0,0,0,0
bladera01,3690,775,0.299547,50,651,0,0,0,0,0,0,0,0,0
blairpa01,5763,1999,0.250646,137,1944,0,0,2,0,8,0,0,0,0
blakeca01,4400,1292,0.262872,169,1311,0,0,0,0,0,0,0,3620267,0
blassst01,3629,301,0.167857,1,289,106,77,1,0,0,0,0,0,0
